name;coord_X;coord_Y
Jindøichovice pod Smrkem;671930.557599999;954430.397999998
Desná v Jizerskıch horách;670203.238600001;977553.565200001
Josefùv Dùl;675267.819200002;974152.1752
Drkov;671989.443500001;985001.062399998
Èeská Lípa 5;725599.820099998;977120.068700001
Dubá;727575.972800002;994263.7927
Jilemnice;658607.526500002;995729.8561
Lindava;716574.330899999;972472.757199999
Jablonec nad Jizerou;662822.210299999;984384.66
Habartice u Frıdlantu;683892.798500001;946369.203000002
Jablonec nad Nisou 1;680908.073600002;979670.8869
Liberec 6;687277.233100001;975796.4377
Zákupy;718099.533399999;979377.878600001
Novı Oldøichov;731633.864599999;968733.630600002
Víchová nad Jizerou;659688.414500002;993238.7533
Bílı Potok pod Smrkem;675040.476;963733.704
Novı Bor;723206.923099998;970318.953600001
Rokytnice nad Jizerou 1;661136.3915;981703.609099999
Velké Hamry;670726.210000001;981872.042399999
Albrechtice v Jizerskıch horách;673113.996800002;976534.216800001
Poniklá;661938.8301;990196.4485
Svojkov;720777.816100001;975076.070900001
Bedøichov;681657.132199999;972185.159499999
Rovensko pod Troskami;677070.9584;1001531.4785
Doksy;719091.055100001;992764.059799999
Staré Splavy;720546.704100002;989893.427000001
Liberec 7;689214.155000001;975199.1138
Horka u Staré Paky;654993.793000001;1005082.1066
Èistá u Horek;653375.909899998;1004726.5856
Huntíøov nad Jizerou;678502.239100002;985971.942499999
Studenec u Horek;655990.351799998;1002714.0454
Roztoky u Jilemnice;659783.554699998;1000062.6427
Semily;670904.178399999;994568.949499998
Košálov;666484.323399998;998639.6435
Krompach;711996.115699999;964016.795499999
Maøenice;714012.342599999;965936.683899999
Èeská Lípa 3;726874.595800001;977704.4463
Køiany;698948.2392;975794.5944
Vıdejní místo Stvolínky;733894.950300001;983070.400600001
Sloup v Èechách;721060.5759;972596.9595
Bratøíkov;676931.669599999;984428.173
Harrachov v Krkonoších;662155.922899999;976296.383900002
Turnov 1;683514.566;994741.297800001
Turnov 2;684803.294799998;994640.480099998
Hodkovice nad Mohelkou;687168.662599999;985502.5121
Jablonec nad Nisou 2;679675.762899999;979143.827100001
Jablonec nad Nisou 4;681243.128199998;978540.780400001
Jablonec nad Nisou 7;684242.2223;978982.089899998
Jablonec nad Nisou 8;679936.644900002;982157.546799999
Janov nad Nisou;680160.911899999;974392.779399998
Luèany nad Nisou;677110.593800001;978368.9366
Nová Ves nad Nisou;677589.408100002;980079.375999998
Frıdštejn;682562.602000002;987823.257100001
